"Temperatura","Humedad","VientoVelocidad","Precipitation","PresionAtmosferica","Localizacion","TipoClima","Estacion"
22,61,8.5,13,1009.6,"Llanura","Nublado","Primavera"
63,86,13,75,1027.31,"Costa","Soleado","Verano"
23,78,15,60,991.36,"Llanura","Lluvioso","Otonio"
27,83,16,53,1003.68,"Costa","Lluvioso","Verano"
10,68,8,99,1014.01,"Costa","Lluvioso","Primavera"
22,89,12,85,1017.54,"Costa","Nublado","Invierno"
30,71,12,92,992.51,"Montania","Lluvioso","Primavera"
30,55,5,31,1004.15,"Montania","Nublado","Otonio"
14,68,11.5,11,1012.85,"Costa","Nublado","Invierno"
19,91,18.5,97,1011.14,"Llanura","Lluvioso","Otonio"
34,71,4,35,1001.54,"Costa","Nublado","Verano"
27,79,14,29,1008.79,"Llanura","Nublado","Verano"
8,78,34.5,106,982.66,"Llanura","Nevado","Invierno"
29,107,0.5,93,1002.18,"Costa","Nublado","Primavera"
27,54,7,11,1015.78,"Costa","Nublado","Verano"
24,27,2,12,1015.66,"Llanura","Soleado","Primavera"
33,69,8,5,1026.28,"Llanura","Soleado","Otonio"
28,47,11.5,24,1105.69,"Llanura","Soleado","Otonio"
32,59,0.5,18,1016.89,"Llanura","Nublado","Primavera"
-10,72,2.5,96,988.45,"Montania","Nevado","Invierno"
28,108,7.5,83,1018.84,"Llanura","Soleado","Verano"
-9,71,9.5,83,996.4,"Llanura","Nevado","Invierno"
28,86,9.5,52,1005.41,"Costa","Lluvioso","Otonio"
-4,64,1,85,993.69,"Llanura","Nevado","Invierno"
25,51,5,18,1019.65,"Costa","Soleado","Otonio"
12,92,20,51,1010.65,"Montania","Lluvioso","Primavera"
-12,22,6.5,71,1097.74,"Costa","Nevado","Primavera"
14,65,6.5,26,1019.03,"Costa","Nublado","Otonio"
43,24,7,1,1020.87,"Llanura","Soleado","Verano"
-10,84,5,75,990.82,"Montania","Nevado","Invierno"
1,52,13.5,18,829.86,"Costa","Nublado","Primavera"
25,86,11,75,1006.57,"Costa","Lluvioso","Otonio"
30,96,4.5,97,1001.66,"Montania","Nublado","Verano"
44,94,9,109,1024.46,"Costa","Soleado","Primavera"
12,89,17.5,75,997.65,"Llanura","Lluvioso","Otonio"
20,48,3,10,1019.81,"Llanura","Soleado","Otonio"
32,71,19,92,1003.24,"Montania","Lluvioso","Verano"
13,79,11,63,990.71,"Costa","Lluvioso","Primavera"
22,46,5,1,1014.95,"Montania","Soleado","Verano"
25,57,3.5,0,1016.85,"Llanura","Soleado","Verano"
-10,72,4.5,72,1193.57,"Montania","Lluvioso","Verano"
0,73,4,90,993.09,"Llanura","Nevado","Invierno"
41,33,3.5,5,1021.88,"Costa","Soleado","Primavera"
35,50,7,3,1011.22,"Costa","Soleado","Otonio"
14,95,42.5,106,997.34,"Montania","Lluvioso","Verano"
23,63,5,2,1028.61,"Costa","Soleado","Invierno"
34,31,9.5,9,1024.74,"Llanura","Soleado","Primavera"
33,63,8.5,93,990.33,"Costa","Lluvioso","Verano"
-2,52,13.5,88,841.43,"Montania","Soleado","Verano"
12,88,9.5,76,990.58,"Montania","Lluvioso","Primavera"
11,66,13.5,39,1005.33,"Costa","Nublado","Verano"
19,72,11,25,1009.68,"Montania","Nublado","Primavera"
18,87,18,58,1001.57,"Llanura","Lluvioso","Verano"
15,98,6,84,1014.45,"Costa","Lluvioso","Otonio"
13,76,0,12,1006.38,"Llanura","Nublado","Primavera"
34,24,4,13,1020.55,"Costa","Soleado","Verano"
-7,89,1,63,993.79,"Montania","Nevado","Invierno"
21,72,19,57,990.71,"Costa","Lluvioso","Invierno"
21,46,7.5,18,1012.01,"Costa","Soleado","Verano"
31,95,19,51,1013.15,"Montania","Lluvioso","Primavera"
24,77,13.5,89,1019.08,"Llanura","Lluvioso","Verano"
60,86,12,86,1003.36,"Llanura","Nublado","Otonio"
48,79,12,88,1140.24,"Montania","Nevado","Otonio"
32,58,6.5,4,1023.83,"Montania","Soleado","Verano"
-10,63,17.5,70,993.68,"Montania","Nevado","Invierno"
26,67,10,27,1002.53,"Llanura","Nublado","Verano"
11,76,6,71,974.29,"Costa","Lluvioso","Verano"
26,27,5.5,14,1027.6,"Costa","Soleado","Primavera"
43,50,8,16,1017.68,"Costa","Soleado","Verano"
33,58,8,41,1017,"Costa","Nublado","Invierno"
23,62,10,20,1003.85,"Montania","Nublado","Invierno"
8,87,10,104,998.66,"Montania","Nevado","Invierno"
-6,106,33,82,995.73,"Montania","Nevado","Invierno"
31,62,6,21,1015.8,"Llanura","Nublado","Otonio"
32,27,8,18,1010.28,"Llanura","Soleado","Primavera"
51,85,13.5,77,1025.39,"Montania","Soleado","Otonio"
20,86,14,64,1000.52,"Costa","Lluvioso","Otonio"
15,74,19,81,1017.45,"Llanura","Lluvioso","Verano"
11,82,14.5,96,1014.44,"Llanura","Nublado","Otonio"
19,79,11,53,1016.38,"Montania","Lluvioso","Primavera"
-14,48,5,74,1022.96,"Costa","Lluvioso","Primavera"
14,80,13,78,1011.38,"Montania","Soleado","Otonio"
27,73,12.5,26,1008.72,"Montania","Nublado","Invierno"
21,25,1,14,1016.38,"Costa","Soleado","Otonio"
-3,98,0.5,60,991.41,"Montania","Nevado","Invierno"
42,28,8,1,1019.49,"Montania","Soleado","Primavera"
18,91,18,91,1000.55,"Costa","Lluvioso","Otonio"
10,88,18.5,92,998.65,"Costa","Lluvioso","Invierno"
29,63,11.5,52,1017.35,"Llanura","Lluvioso","Verano"
37,62,6,6,1021.37,"Llanura","Soleado","Verano"
16,87,14,50,1001.96,"Montania","Lluvioso","Verano"
28,52,13.5,30,1011.14,"Costa","Nublado","Primavera"
16,78,15,55,1012.87,"Montania","Lluvioso","Verano"
11,50,14,15,1003.19,"Montania","Nublado","Verano"
18,61,5,19,1011.7,"Llanura","Nublado","Primavera"
12,70,2.5,43,1016.35,"Costa","Nublado","Otonio"
12,97,5.5,86,1005.53,"Montania","Lluvioso","Invierno"
21,28,7.5,14,1015.26,"Llanura","Soleado","Verano"
26,75,17,61,1002.64,"Costa","Lluvioso","Verano"
0,82,17,50,988.71,"Montania","Nevado","Invierno"
27,69,3,33,1018.37,"Costa","Nublado","Primavera"
22,21,4.5,19,1026.59,"Costa","Soleado","Verano"
13,75,0.5,33,1006.64,"Montania","Nublado","Primavera"
25,74,0,33,1011.2,"Costa","Nublado","Verano"
30,81,17,51,995.93,"Llanura","Lluvioso","Otonio"
15,73,23,86,990.25,"Costa","Lluvioso","Primavera"
5,36,14.5,68,1195.34,"Llanura","Lluvioso","Otonio"
21,97,19.5,74,996.4,"Llanura","Lluvioso","Primavera"
17,51,10.5,21,1006.16,"Llanura","Nublado","Verano"
22,71,9.5,55,1018.77,"Costa","Lluvioso","Verano"
36,66,2,13,1010.25,"Llanura","Soleado","Verano"
27,55,4.5,35,1013.66,"Llanura","Nublado","Primavera"
28,51,6.5,8,1011.58,"Montania","Soleado","Otonio"
34,69,7.5,32,1019.04,"Montania","Nublado","Primavera"
16,58,7.5,38,1001.5,"Costa","Nublado","Invierno"
-3,81,6,87,985.5,"Montania","Nevado","Invierno"
42,39,7.5,17,1029.23,"Llanura","Soleado","Primavera"
12,69,17.5,73,990.32,"Costa","Lluvioso","Otonio"
10,58,8.5,40,1101.7,"Costa","Nevado","Invierno"
10,98,14,97,1007.79,"Llanura","Lluvioso","Primavera"
23,28,6.5,7,1022.75,"Costa","Soleado","Verano"
37,109,22,94,1019.37,"Montania","Lluvioso","Otonio"
24,79,12,12,1013.39,"Costa","Nublado","Primavera"
36,96,36.5,91,996.7,"Montania","Lluvioso","Invierno"
44,29,1,12,1012.63,"Llanura","Soleado","Otonio"
47,108,8,94,1003.87,"Montania","Nublado","Verano"
70,71,6.5,89,1028.88,"Montania","Soleado","Otonio"
30,72,5.5,97,1011.47,"Costa","Lluvioso","Primavera"
10,94,13.5,62,1005.18,"Costa","Lluvioso","Otonio"
28,59,9,37,1004.99,"Llanura","Nublado","Primavera"
16,101,34.5,72,993.43,"Llanura","Lluvioso","Verano"
18,94,2.5,109,1018.62,"Costa","Nublado","Verano"
23,25,10,15,1016.92,"Montania","Soleado","Primavera"
29,34,0.5,17,1017.92,"Llanura","Soleado","Primavera"
34,50,7.5,41,1012.99,"Costa","Nublado","Invierno"
29,61,14,33,1004.54,"Costa","Nublado","Otonio"
9,108,27.5,103,1019.52,"Costa","Nublado","Primavera"
66,83,20.5,109,1005.29,"Llanura","Nublado","Verano"
33,34,10,2,1020.04,"Montania","Soleado","Verano"
-8,85,9,91,987.23,"Montania","Nevado","Invierno"
29,95,15,56,1005.12,"Montania","Lluvioso","Otonio"
37,50,2.5,9,1016.98,"Llanura","Soleado","Primavera"
-16,48,9,76,1157.85,"Llanura","Nublado","Primavera"
21,68,3,30,1019.34,"Costa","Nublado","Otonio"
36,21,4.5,19,1020.62,"Costa","Soleado","Invierno"
20,51,3.5,34,1001.09,"Llanura","Nublado","Otonio"
21,76,7,57,1014.41,"Costa","Lluvioso","Otonio"
12,77,4,45,1008.41,"Llanura","Nublado","Primavera"
10,57,8.5,36,1011.7,"Costa","Nublado","Verano"
34,31,5,6,1013.68,"Llanura","Soleado","Primavera"
31,96,14.5,92,1000.22,"Montania","Nublado","Verano"
13,97,8.5,96,1017.24,"Costa","Lluvioso","Otonio"
32,96,6.5,55,1002.53,"Costa","Lluvioso","Verano"
36,81,7.5,104,1004.2,"Costa","Nublado","Otonio"
23,43,5,7,1021.71,"Montania","Soleado","Otonio"
30,59,5.5,49,1001.22,"Llanura","Nublado","Primavera"
15,88,11,60,999.44,"Montania","Lluvioso","Otonio"
28,71,10.5,79,998.57,"Costa","Lluvioso","Otonio"
33,67,4.5,46,1013.32,"Montania","Nublado","Primavera"
0,88,4.5,59,983.67,"Llanura","Nevado","Invierno"
32,68,6,1,1016.28,"Montania","Soleado","Primavera"
24,66,9.5,47,1004.79,"Costa","Nublado","Invierno"
35,48,2.5,16,1015.9,"Montania","Soleado","Otonio"
10,44,7.5,28,933.43,"Montania","Soleado","Primavera"
-8,63,19.5,52,983.82,"Llanura","Nevado","Invierno"
21,59,2.5,0,1017.02,"Llanura","Soleado","Otonio"
11,70,7,12,1005.16,"Costa","Nublado","Otonio"
39,94,15.5,94,1010.92,"Montania","Lluvioso","Otonio"
20,78,12.5,89,1016.65,"Montania","Soleado","Otonio"
17,74,10.5,103,1018.89,"Llanura","Lluvioso","Otonio"
27,77,0,30,1008.97,"Montania","Nublado","Verano"
39,60,9.5,13,1013.69,"Costa","Soleado","Primavera"
1,102,35,90,988.38,"Montania","Nevado","Invierno"
13,83,7,90,999.27,"Llanura","Lluvioso","Invierno"
59,106,8.5,109,1023.39,"Montania","Soleado","Invierno"
32,66,1.5,33,1010.87,"Montania","Nublado","Primavera"
0,78,19.5,85,998.09,"Montania","Nevado","Invierno"
-4,61,8,73,990.23,"Montania","Nevado","Invierno"
-2,94,14,60,991.2,"Llanura","Nevado","Invierno"
42,26,6.5,6,1011.69,"Llanura","Soleado","Verano"
11,86,16,64,990.95,"Costa","Lluvioso","Verano"
26,95,12.5,66,1009.96,"Costa","Lluvioso","Verano"
14,96,16,59,1016.65,"Llanura","Lluvioso","Primavera"
-6,69,4,74,982.49,"Montania","Nevado","Invierno"
18,78,3,15,1011.45,"Llanura","Nublado","Verano"
28,66,4,5,1018.89,"Costa","Soleado","Verano"
27,63,2.5,16,1029.77,"Montania","Soleado","Otonio"
15,75,6,30,1010.66,"Costa","Nublado","Verano"
31,59,14.5,20,1001.96,"Montania","Nublado","Primavera"
29,55,7,20,1019.91,"Llanura","Nublado","Primavera"
18,69,13.5,43,1003.49,"Montania","Nublado","Verano"
32,59,7.5,43,1010.05,"Costa","Nublado","Otonio"
32,78,6.5,31,968.75,"Llanura","Soleado","Primavera"
40,96,1,88,1021.63,"Montania","Soleado","Verano"
27,77,16,95,1023.17,"Costa","Soleado","Verano"
20,65,10,42,1080.21,"Costa","Nevado","Otonio"
44,40,6,15,1026.5,"Montania","Soleado","Otonio"
17,63,9,10,1011.5,"Llanura","Nublado","Invierno"
23,109,0,91,1029.8,"Costa","Soleado","Primavera"
17,65,15,60,1001.27,"Montania","Lluvioso","Otonio"
13,65,6.5,86,899.08,"Llanura","Nevado","Otonio"
24,54,14.5,10,1017.7,"Costa","Nublado","Verano"
25,51,4,3,1017.49,"Montania","Soleado","Verano"
22,47,2.5,1,1025.67,"Montania","Soleado","Otonio"
31,106,30,76,1001.99,"Costa","Nublado","Verano"
2,80,16,77,996.19,"Montania","Nevado","Invierno"
33,42,4,8,1021.96,"Costa","Soleado","Primavera"
23,23,3.5,8,1027.69,"Montania","Soleado","Primavera"
32,61,6,97,1000.84,"Llanura","Lluvioso","Primavera"
35,29,9,20,1092.51,"Llanura","Nublado","Otonio"
13,50,6,13,1001.38,"Montania","Nublado","Verano"
12,54,10.5,47,1007.02,"Costa","Nublado","Primavera"
26,33,7.5,6,1025.21,"Montania","Soleado","Primavera"
23,104,3.5,76,1028.36,"Costa","Soleado","Verano"
4,62,7,68,991.16,"Montania","Nevado","Invierno"
22,78,16.5,74,990.53,"Montania","Lluvioso","Verano"
28,67,2.5,28,1045.99,"Costa","Nublado","Verano"
29,82,18,78,991.54,"Llanura","Lluvioso","Primavera"
-10,75,8.5,94,990.03,"Montania","Nevado","Invierno"
18,75,11,20,1003.14,"Llanura","Nublado","Otonio"
39,39,3.5,16,1014.76,"Llanura","Soleado","Verano"
26,60,1.5,14,1028.72,"Llanura","Soleado","Otonio"
0,83,18.5,78,992.31,"Montania","Nevado","Invierno"
-7,70,15,30,1105.56,"Llanura","Nevado","Invierno"
2,32,5,49,904.2,"Llanura","Soleado","Primavera"
20,48,9,8,1012.09,"Costa","Soleado","Verano"
43,60,3.5,2,1011.03,"Montania","Soleado","Primavera"
33,69,5,81,994.68,"Llanura","Nevado","Otonio"
26,83,10.5,72,1004.7,"Costa","Nublado","Verano"
34,53,6.5,41,1013.81,"Costa","Nublado","Invierno"
16,103,17.5,95,1004.72,"Costa","Nublado","Otonio"
12,56,0.5,48,1008.67,"Costa","Nublado","Otonio"
31,95,5.5,79,994.38,"Costa","Lluvioso","Otonio"
15,95,5.5,54,996.04,"Montania","Lluvioso","Invierno"
20,79,9.5,40,1004.02,"Montania","Nublado","Primavera"
38,40,5,11,1010.5,"Costa","Soleado","Otonio"
25,27,4,15,1017.86,"Montania","Soleado","Otonio"
19,65,5.5,34,1142.94,"Montania","Soleado","Invierno"
27,72,15.5,57,991.14,"Costa","Lluvioso","Verano"
37,57,3.5,16,1010.9,"Montania","Soleado","Otonio"
34,79,13.5,89,990.29,"Llanura","Lluvioso","Verano"
-16,98,4.5,73,994.1,"Llanura","Nevado","Invierno"
31,29,7,16,1023.21,"Costa","Soleado","Primavera"
21,108,18,96,992.8,"Montania","Lluvioso","Otonio"
20,21,9,9,1013.66,"Costa","Soleado","Otonio"
31,52,7,19,1024.37,"Montania","Soleado","Verano"
39,34,3.5,5,1016.3,"Llanura","Soleado","Primavera"
80,76,3,93,1014.26,"Llanura","Soleado","Invierno"
16,50,9,32,1000.8,"Montania","Nublado","Otonio"
19,70,26.5,100,1012.31,"Llanura","Lluvioso","Verano"
-9,94,0,56,987.75,"Montania","Nevado","Invierno"
19,91,6.5,68,1016.8,"Costa","Lluvioso","Verano"
15,79,0,39,1015.32,"Costa","Nublado","Verano"
-19,51,10,26,1098.88,"Montania","Nublado","Primavera"
26,50,3,20,1008.81,"Llanura","Nublado","Verano"
18,98,21,92,1010.14,"Costa","Nublado","Primavera"
44,65,6.5,3,1021.53,"Costa","Soleado","Otonio"
42,52,3,12,1025.53,"Montania","Soleado","Verano"
15,51,14,44,1006.17,"Montania","Nublado","Verano"
52,101,7,96,1021.67,"Costa","Soleado","Verano"
0,89,19.5,54,994.67,"Montania","Nevado","Invierno"
-9,88,5,63,981.68,"Llanura","Nevado","Invierno"
41,46,0.5,11,1023.72,"Llanura","Soleado","Otonio"
11,68,7,81,1004.46,"Llanura","Lluvioso","Verano"
26,68,6.5,32,1015.95,"Costa","Nublado","Primavera"
15,99,13.5,80,1002.93,"Costa","Nublado","Primavera"
33,60,7,37,1009.8,"Montania","Nublado","Verano"
26,71,4,39,1011.13,"Costa","Nublado","Primavera"
34,89,5.5,85,994.36,"Montania","Lluvioso","Primavera"
45,95,3,107,1013.55,"Costa","Nublado","Primavera"
29,81,5,95,990.38,"Montania","Lluvioso","Invierno"
14,95,15,52,1001.31,"Costa","Lluvioso","Primavera"
28,66,1.5,8,1028.57,"Costa","Soleado","Invierno"
16,79,12.5,65,994.52,"Costa","Lluvioso","Primavera"
17,66,9.5,28,1006.33,"Costa","Nublado","Verano"
22,76,2.5,35,1006.76,"Llanura","Nublado","Verano"
38,49,11.5,56,1187.38,"Llanura","Soleado","Otonio"
23,94,18,50,1003.54,"Montania","Lluvioso","Verano"
19,76,9.5,14,1012.3,"Llanura","Nublado","Primavera"
39,84,32.5,71,1019.59,"Montania","Lluvioso","Invierno"
4,74,8.5,77,987.85,"Llanura","Nevado","Invierno"
23,63,2,16,1015.73,"Costa","Nublado","Primavera"
13,60,5.5,31,1019.03,"Llanura","Nublado","Primavera"
19,59,1,25,1011.4,"Costa","Nublado","Otonio"
